Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2008-01-02,5.85575532913208,6.018649483316913,5.786932097564124,5.98889597022749,1079178800
2008-01-03,5.858462333679199,5.932395715723775,5.791141023652699,5.872888672627728,842066400
2008-01-04,5.411255359649658,5.800457098825987,5.376392914200974,5.753873254060979,1455832000
2008-01-07,5.338825702667236,5.517948734691483,5.116123906934405,5.447320986306308,2072193200
2008-01-08,5.146778106689453,5.483685949854864,5.133253817529298,5.4139594595212674,1523816000
2008-01-09,5.391722202301025,5.394727288989233,5.058120262102273,5.14828289441724,1813882000
2008-01-10,5.350245475769043,5.439806980440451,5.271804272799534,5.337021734471238,1482975200
2008-01-11,5.190058708190918,5.345138686504727,5.1092130833377505,5.289537958296258,1232285600
2008-01-14,5.3730878829956055,5.392322200885005,5.2645917881942665,5.335219542196624,1100450400
2008-01-15,5.080361843109131,5.386312951279607,4.948723853145062,5.341232228413684,2343278000
2008-01-16,4.797850608825684,5.079457559471173,4.70949128432339,4.965852942977756,2213845200
2008-01-17,4.835418224334717,4.969760721622302,4.761184681182443,4.854052248902038,1757859600
2008-01-18,4.849545478820801,4.9814836256082256,4.796950629683559,4.8600642881415075,1724343600
2008-01-22,4.677632808685303,4.808068146252578,4.387911061065182,4.4498224932459705,2434754000
2008-01-23,4.179635524749756,4.207585753023803,3.791034859778442,4.093079500195741,3372969600
2008-01-24,4.075347900390625,4.228624565752704,3.9674536988596167,4.207286003960199,2005866800
2008-01-25,3.907346248626709,4.180238594662787,3.895325096753393,4.177233507327876,1554739200
2008-01-28,3.907346248626709,4.003219328688255,3.800352860738699,3.851746314561735,1474844000
2008-01-29,3.953327178955078,3.9908949664439954,3.8784929552307195,3.941606581401445,1099982800
2008-01-30,3.9725639820098877,4.070841458786118,3.907045931670308,3.9482203254244856,1243051600
2008-01-31,4.068134307861328,4.106903483162649,3.889011304254738,3.8905132451466393,1345674400
2008-02-01,4.019748687744141,4.1051021473662965,3.9725633242425236,4.094583339644351,1010744000
2008-02-04,3.956634283065796,4.084363899271327,3.9497212600698144,4.033572360799923,899234000
2008-02-05,3.8878087997436523,4.0272601827424985,3.873983559907316,3.9199667072645155,1141042000
2008-02-06,3.6666107177734375,3.964748643887653,3.6596984981058727,3.931989232900772,1573272400
2008-02-07,3.643770694732666,3.750162978402999,3.5244552121308717,3.605602195621921,2083331600
2008-02-08,3.7712011337280273,3.7778128072226163,3.6545901851790226,3.669016530113019,1355972800
2008-02-11,3.890514373779297,3.906443458706423,3.8228929063656554,3.8472369556479413,1201432400
2008-02-12,3.7525646686553955,3.9370967095353535,3.7152970403556305,3.9280806520358387,1225980000
2008-02-13,3.889012098312378,3.900432549408405,3.7757076285245312,3.8072644443618127,968534000
2008-02-14,3.8307056427001953,3.9310868861463546,3.817180552092162,3.889010877394881,954097200
2008-02-15,3.745652198791504,3.819285025677454,3.7285217253194896,3.7949417846277433,901300400
2008-02-19,3.672020435333252,3.809368407978258,3.649780629919426,3.786527103785648,1005046000
2008-02-20,3.7213099002838135,3.744751902432054,3.6569936655983217,3.6726222020527834,967439200
2008-02-21,3.6527857780456543,3.8009535084163337,3.6323496660888543,3.7883308617155333,938114800
2008-02-22,3.5902743339538574,3.6819393161635716,3.4823793142486354,3.681038070973201,1529878000
2008-02-25,3.598689556121826,3.6116127535543514,3.5061225299118983,3.564126443321399,1256774400
2008-02-26,3.58095645904541,3.639262119913768,3.4694556703760537,3.5355751982686465,1504888000
2008-02-27,3.695462942123413,3.698167479444346,3.5490989197944742,3.5533062007751846,1475138000
2008-02-28,3.904336452484131,3.97316045339191,3.7799121833009997,3.822889414672973,1618254400
2008-02-29,3.7573742866516113,3.913355062167311,3.7507622147055426,3.885705382017062,1255480800
2008-03-03,3.6584970951080322,3.7862279420824767,3.546395188783715,3.739944224134694,1593043200
2008-03-04,3.7453527450561523,3.7531670127514962,3.6185243795191657,3.6663104281636705,1785383600
2008-03-05,3.7414450645446777,3.760980730928674,3.674123757764851,3.714095532873723,1221836000
2008-03-06,3.6344528198242188,3.831908102064123,3.6308458341063385,3.745051532862935,1473698800
2008-03-07,3.674123764038086,3.6960634189017014,3.5779509843883797,3.6188240044411977,1230462800
2008-03-10,3.597187042236328,3.7104915547481463,3.587569478725425,3.666011527310724,999588800
2008-03-11,3.8274011611938477,3.831308295665932,3.6666115628949294,3.7297256082590797,1163943200
2008-03-12,3.787729263305664,3.8673730862812223,3.761882870323456,3.8180846905973342,1059629200
2008-03-13,3.8451321125030518,3.892016504953255,3.6966642678441546,3.7297242229077003,1262102800
2008-03-14,3.8051626682281494,3.916061994002756,3.732731191211231,3.90343894113501,1156640800
2008-03-17,3.808767795562744,3.864669074662596,3.683141997701628,3.683141997701628,1072598800
2008-03-18,3.9917972087860107,3.9972074883677493,3.8670726688799726,3.8824002561723594,1205120000
2008-03-19,3.8971264362335205,4.035976758485431,3.8971264362335205,4.000813756032074,1010536800
2008-03-20,4.005321025848389,4.0059217219802274,3.8823990154630517,3.9407042593138053,908787600
2008-03-24,4.193460464477539,4.233132097509255,4.016441662139609,4.027561163514621,1066920400
2008-03-25,4.237039089202881,4.300753817906679,4.127341606436438,4.206383518561103,1052391200
2008-03-26,4.359661102294922,4.380098020013744,4.226821739022729,4.233733960354029,1182084400
2008-03-27,4.215099334716797,4.36717336989012,4.207285068292096,4.3563540176456295,999829600
2008-03-28,4.2980499267578125,4.347338323151301,4.255673751253623,4.261684727041483,714610400
2008-03-31,4.312777042388916,4.379197130688781,4.283324059285294,4.30586482049596,768065200
2008-04-01,4.494001865386963,4.497908998730232,4.316081839108641,4.396927036842552,1032567200
2008-04-02,4.4326934814453125,4.544194697528964,4.3834050749647,4.4714630794111825,1044968400
2008-04-03,4.556514739990234,4.617224376636325,4.417964992471816,4.419768284762292,1051568000
2008-04-04,4.6006951332092285,4.649682974393343,4.5306688795247405,4.573946695725442,854417200
2008-04-07,4.685147762298584,4.799353489078142,4.661705358879947,4.692360130437551,1158326400
2008-04-08,4.593481063842773,4.701977144496354,4.577853333070486,4.614820424045883,1014294400
2008-04-09,4.551406383514404,4.625039235853863,4.521953403085326,4.607608207654419,873398400
2008-04-10,4.6448750495910645,4.671021990863421,4.526160689337455,4.542089774644444,955763200
2008-04-11,4.422173500061035,4.607307129179521,4.399932890993055,4.589876102983998,1210076000
2008-04-14,4.44140625,4.485586101225233,4.34403129139857,4.411052038632402,845087600
2008-04-15,4.459440231323242,4.499712959488764,4.379496273731989,4.490094998652214,698037200
2008-04-16,4.619329452514648,4.631350601798117,4.5267624298577465,4.559821593554158,795774000
2008-04-17,4.643071174621582,4.688453232082658,4.608809821869528,4.633453614887663,704267200
2008-04-18,4.839925765991211,4.876591502451298,4.759981419343407,4.782221219918662,1026765600
2008-04-21,5.053911209106445,5.064129865383541,4.861564847325521,4.875088736923689,1039152800
2008-04-22,4.814680576324463,5.049102961602692,4.751265598555977,5.031070038294128,1439572400
2008-04-23,4.895525932312012,4.954131726345743,4.841127820174028,4.930389181038716,1504190800
2008-04-24,5.077353000640869,5.10860966436772,4.784325239126278,4.969158678104143,1696066400
2008-04-25,5.101098537445068,5.142272118966033,5.001618487325002,5.1302509692110885,992474000
2008-04-28,5.1765336990356445,5.221914955231532,5.0830646428263595,5.101698264064862,787214400
2008-04-29,5.260985851287842,5.279318121102845,5.116725261216458,5.142571650992844,923476400
2008-04-30,5.227926254272461,5.409753845409645,5.196970132361791,5.295247573397195,1139524400
2008-05-01,5.409753322601318,5.409753322601318,5.255274881812616,5.2582799679426095,903576800
2008-05-02,5.438004016876221,5.467456988198053,5.366174880848484,5.415463264682316,1006082000
2008-05-05,5.551911354064941,5.569342784997954,5.441311791846237,5.467459138879156,854557200
2008-05-06,5.609914779663086,5.623739219176863,5.475272154207066,5.5498058341654435,918870400
2008-05-07,5.487593173980713,5.656197798631938,5.425982290400604,5.591581026534113,1157133600
2008-05-08,5.561826705932617,5.605104512328001,5.502018722032131,5.523056327232702,899085600
2008-05-09,5.51344108581543,5.5374841844368206,5.450928146613054,5.50472557291352,673072400
2008-05-12,5.654994487762451,5.676333043281464,5.495406746300444,5.566335032661274,818563200
2008-05-13,5.709095001220703,5.753875571821588,5.645981353776028,5.668521311587036,823236400
2008-05-14,5.597893238067627,5.777616983846296,5.5771557747521285,5.747262361411554,916823600
2008-05-15,5.702179908752441,5.707289638131056,5.535980082156765,5.61442209231129,873208000
2008-05-16,5.638766288757324,5.719312147802201,5.620132668022568,5.713601320438309,765769200
2008-05-19,5.517947673797607,5.670923337931903,5.4488226823660835,5.645978600446832,945820400
2008-05-20,5.58707332611084,5.594886790610951,5.41335977038279,5.464451449765552,969850000
2008-05-21,5.355356216430664,5.648684998258764,5.2970509580870795,5.580161081601327,1157657200
2008-05-22,5.3210954666137695,5.449727165789523,5.169321906983118,5.387515559443176,1206735600
2008-05-23,5.444915771484375,5.469560362565437,5.343633271508837,5.432893823997708,906917200
2008-05-27,5.603002548217773,5.603002548217773,5.46505426841579,5.492403405096779,789905200
2008-05-28,5.620433807373047,5.6486845875355165,5.52155567553771,5.632454954923005,743979600
2008-05-29,5.610816478729248,5.656198539632301,5.575051978289553,5.612920320080607,647186400
2008-05-30,5.672728538513184,5.69647189349948,5.6315545570840415,5.633658398665106,610184400
2008-06-02,5.593084812164307,5.699776411666173,5.545899058183768,5.668219594448238,679840000
2008-06-03,5.571145057678223,5.656198756216035,5.48008118615409,5.615925621500319,750520400
2008-06-04,5.565736293792725,5.622839364743654,5.506830331221689,5.530572885032082,726983600
